"gene","subtype","n_methods_significant","expr_fold_change","target_expression","expr_fdr","target_rank"
"DUX4","basq",1,12.0845491950167,0.00962335434751078,NA,0.0183727034120735
"SEPTIN14","basq",1,9.41952892807948,0.163000336386379,NA,0.0754593175853018
"OPN1LW","basq",1,7.24605134767427,0.00240924749738693,NA,0.00853018372703412
"EPGN","basq",1,6.62308971187417,3.5481406408871,NA,0.534776902887139
"BTG4","basq",1,5.58851651823957,0.196482763099281,NA,0.0807086614173228
"TGM1","basq",1,5.31024683384497,4.4143006974035,NA,0.69750656167979
"SHOC1","basq",1,4.85343987583434,0.625551601069167,NA,0.131889763779528
"WBP2NL","basq",1,0.224730599297004,0.046652652050319,NA,0.0360892388451444
"HMGA2","basq",1,3.82501925249298,3.1125816186361,NA,0.456692913385827
"HORMAD1","basq",1,2.95713900235439,1.18216356222433,NA,0.181102362204724
"IL1A","basq",1,2.66723307700658,5.25252752311604,NA,0.824803149606299
"ALOX15B","basq",1,2.44607291675759,2.29227051236862,NA,0.303805774278215
"RHOU","basq",1,0.438862863591415,2.20840664165767,NA,0.286089238845144
"TUBAL3","basq",1,2.19508552601163,0.570043568333024,NA,0.126640419947507
"FOSL1","basq",1,2.11361253714978,4.63012668761951,NA,0.731627296587926
"TBX3","basq",1,0.473427803863373,2.5353829599506,NA,0.343175853018373
"CYP27B1","basq",1,2.09843758335751,2.19386868956443,NA,0.283464566929134
"MAP2K6","basq",1,0.486031733677754,0.604159665374371,NA,0.128608923884514
"PTCH1","basq",1,0.497113766962389,0.872922737030831,NA,0.154855643044619
"USP44","basq",1,0.502875117748671,0.325811759874509,NA,0.0984251968503937
"TENT5B","basq",1,1.96351136529905,2.7970504857883,NA,0.393700787401575
"CATSPERZ","basq",1,1.89572006334624,0.630952033443828,NA,0.13254593175853
"ID4","basq",1,0.560410342288992,2.31516484506291,NA,0.311023622047244
"HOXA13","basq",1,0.583982378262563,1.43390427446859,NA,0.200131233595801
"CENPC","basq",1,0.591251022856762,1.02696393191856,NA,0.166010498687664
"NRDE2","basq",1,0.60049554434889,0.652100758184676,NA,0.135826771653543
"PKIA","basq",1,0.601948394782327,2.80539951914133,NA,0.398293963254593
"ZPR1","basq",1,0.603494008721342,0.708815410308889,NA,0.141732283464567
"PARD6A","basq",1,0.603544606985723,1.62896062781066,NA,0.224409448818898
"ZBED3","basq",1,0.610842991642029,1.24915486263178,NA,0.187007874015748
"CABLES1","basq",1,0.615395115152027,1.83410882737445,NA,0.248031496062992
"TMEM8B","basq",1,0.627168294281154,1.79873493190688,NA,0.242782152230971
"ZCWPW1","basq",1,0.637738219167558,1.27388125656414,NA,0.188320209973753
"KDM8","basq",1,0.670362074658174,1.19804408655084,NA,0.18241469816273
"CTC1","basq",1,0.676599752069061,1.70400955142469,NA,0.232283464566929
"PBX1","basq",1,0.699626926040242,3.22023621687953,NA,0.473097112860892
"BEX4","basq",1,0.700905323521288,4.27232261663595,NA,0.674540682414698
"CCDC57","basq",1,0.70093965525022,1.11272566434943,NA,0.177165354330709
"CEP68","basq",1,0.7054130939682,1.93431160570757,NA,0.256561679790026
"ZBTB49","basq",1,0.711539655076891,1.09349690721858,NA,0.175853018372703
"ANXA1","basq",1,1.38248124402884,10.4566909360812,NA,0.995406824146982
"TOP2B","basq",1,0.732642280392918,3.74177679572994,NA,0.579396325459318
"FOXO4","basq",1,0.733577327094307,2.76274792612776,NA,0.388451443569554
"CSPP1","basq",1,0.74046864687118,1.56670010316326,NA,0.215879265091864
"NFRKB","basq",1,0.742414290930647,1.96365033883097,NA,0.259186351706037
"ARID1B","basq",1,0.75066407397896,2.02667093041012,NA,0.263779527559055
"INSR","basq",1,0.751092113146374,2.74697578670571,NA,0.385170603674541
"TPD52L1","basq",1,1.32783411810102,5.74475342854424,NA,0.877952755905512
"PCNT","basq",1,0.758684166418161,1.46652726564554,NA,0.204068241469816
"PLK2","basq",1,1.31611511987091,5.70827718306195,NA,0.872703412073491
"TNKS","basq",1,0.765744252098283,2.39517736631832,NA,0.325459317585302
"BRD8","basq",1,0.766272852769804,2.46427566364361,NA,0.334645669291339
"NUDT16","basq",1,0.766581075830387,3.19876627020896,NA,0.471784776902887
"TP53BP1","basq",1,0.76790241839564,2.27421729526805,6.37823127647152e-11,0.300524934383202
"RAB11FIP3","basq",1,0.771094273847913,2.59257563904102,NA,0.35498687664042
"NR2F2","basq",1,0.7758888107158,3.83432518123323,NA,0.599737532808399
"KMT2E","basq",1,0.779891978656643,2.73632767979246,NA,0.381889763779528
"NEK4","basq",1,0.782187915213518,2.89717200370015,NA,0.415354330708661
"ZNF703","basq",1,0.78386574873336,2.79955561889646,NA,0.395669291338583
"ZNF324","basq",1,0.78549169946117,1.51584772231107,NA,0.208661417322835
"ARID1A","basq",1,0.786712720302066,1.35980167365726,NA,0.194225721784777
"ID2","basq",1,0.792616398991478,5.23283725190073,NA,0.820209973753281
"AGO4","basq",1,0.795284537964971,2.56056944610815,NA,0.347769028871391
"CCNT2","basq",1,0.797162111717546,2.64636013145786,NA,0.36745406824147
"UBXN2B","basq",1,0.798359868440868,2.89380848252868,NA,0.414698162729659
"WDR6","basq",1,0.80308744977137,4.73358650931005,NA,0.751312335958005
"BBS4","basq",1,0.803446644197801,3.05459615126391,NA,0.446194225721785
"PBRM1","basq",1,0.805571116033068,3.51329300194157,NA,0.526902887139108
"SHB","basq",1,1.23811433349509,2.99318435217621,NA,0.435695538057743
"INTS3","basq",1,0.811618200627286,2.9803622380006,NA,0.433070866141732
"EPC2","basq",1,0.812915608757402,3.28423149536788,NA,0.485564304461942
"CNTROB","basq",1,0.815221843389908,2.330094522919,NA,0.31496062992126
"ING4","basq",1,0.819932934758139,4.4797490248666,NA,0.706036745406824
"EXOC6","basq",1,0.820158601674175,2.87015989339537,NA,0.41010498687664
"XPC","basq",1,0.822668928746827,3.68325846909229,NA,0.563648293963255
"MADD","basq",1,0.824058576929874,3.2640116555689,NA,0.480314960629921
"TP53","basq",1,0.830677576071735,4.26094329568303,0,0.673228346456693
"CCNG2","basq",1,0.8310062008244,4.99580310970528,NA,0.79002624671916
"PCM1","basq",1,0.835801203346606,3.80849130471903,NA,0.593832020997375
"EPC1","basq",1,0.836513484208269,3.49659406409262,NA,0.522965879265092
"HCFC1","basq",1,0.839490529597321,2.29372965082369,NA,0.304461942257218
"ZNF268","basq",1,0.840366963798273,2.77224477832509,NA,0.391076115485564
"ALKBH4","basq",1,0.841514233744898,2.57606409745788,NA,0.351706036745407
"CCNG1","basq",1,0.841718106531666,5.418374263077,NA,0.844488188976378
"KLF4","basq",1,1.18569878658821,1.40409160332059,NA,0.19750656167979
"SH2B1","basq",1,0.847147567345194,3.68732778230458,NA,0.565616797900262
"USP19","basq",1,0.850870483010298,3.39818973079354,NA,0.504593175853018
"SMARCAD1","basq",1,0.855976529277433,3.46950013974487,NA,0.519028871391076
"CEP63","basq",1,0.856129580329487,3.29962334064922,NA,0.488188976377953
"MAU2","basq",1,0.858082531460387,3.30069113466149,NA,0.488845144356955
"MEN1","basq",1,0.858268052587467,1.23581409610788,NA,0.185695538057743
"SGSM3","basq",1,0.858296862773598,3.72772455408734,NA,0.573490813648294
"MCPH1","basq",1,0.858357787842757,2.68407805921446,NA,0.375984251968504
"KAT7","basq",1,0.85851035952837,2.83441598941717,NA,0.404199475065617
"NCOR1","basq",1,0.858940207899246,3.27200469156048,NA,0.482283464566929
