"gene_symbol","mean_expr"
"MAD1L1",2.8378573210452
"KLHL13",2.14337417414565
"CYP26B1",2.26705960595637
"POLDIP2",6.18907744318094
"CDC27",4.57147507898483
"UPF1",2.51832005849383
"SLC25A5",9.15480383417062
"KMT2E",2.73632767979246
"USH1C",0.085009610062686
"DBF4",0.632654554314318
"PAF1",5.24869124802874
"CDKL3",0.398852967696008
"MARK4",2.67798100428332
"PAFAH1B1",4.71887613124283
"PAX6",0.984757220803615
"E2F2",1.9200346710528
"CDKL5",1.41955509202899
"CDK11A",3.24640505866354
"CRY1",3.47112041368929
"PKD1",1.75140567702148
"BAZ1B",4.67346835883286
"METTL13",3.9172048450949
"ZNF207",6.86834780634905
"NCAPD2",4.48059252590588
"IFFO1",0.440969484930343
"AKAP8L",3.85085099565026
"MBTD1",0.0914555042525075
"TTC19",2.13702837112222
"DPF1",0.396497416045629
"ANLN",4.54334794192836
"WIZ",3.38197912262173
"PPP5C",4.97136701509469
"CEP68",1.93431160570757
"BRCA1",2.76118723084656
"MBTPS2",3.17417617895715
"DDX11",2.96787953415176
"TACC3",4.15987806384626
"UFL1",4.02258236261417
"BID",5.95780251824117
"IGF1",1.4409772225299
"PRDM11",0.0962269325694371
"HGF",1.39231173625134
"MNAT1",4.4477399292596
"RUNX3",2.21699784530783
"MRE11",3.40561451613862
"SPAST",3.12210024165355
"FHL1",3.46881642738273
"RTF2",6.54793893418547
"BIRC3",3.55975124100842
"UBR2",1.02265862674572
"NCAPH2",4.6255583193158
"BAK1",6.15468489965599
"CENPQ",3.77943184531331
"PIAS1",3.44285911982677
"CUL3",4.97684497512826
"ZZZ3",3.52562232120945
"USP2",0.927613171986367
"TUBG2",3.22416032548693
"NSUN2",5.33460206953268
"SPDL1",3.61626942756155
"MYO16",0.160551041226359
"PARP3",2.61464753130804
"JADE2",3.37216587416773
"CUL7",2.46361008086824
"CNTLN",1.79369119777731
"OFD1",3.13402000420011
"YTHDC2",3.03979008436257
"TPR",4.21724639508543
"MAP4",5.41716123746436
"USP28",3.4215467799989
"RRM2B",3.79956528403837
"ARID1B",2.02667093041012
"RAD51",3.86394455512395
"FOXN3",1.98624711816768
"ANAPC4",3.72017362771196
"SDCCAG8",3.26679818151204
"FOXC1",2.96183885116235
"SPO11",0
"CUL1",5.28483509405764
"PUM2",4.7060730026109
"MSH4",0.0647774293324163
"MTA3",2.65127709324759
"CDK14",2.54500139944677
"PPP1R12A",4.01034156354293
"ATP2B4",3.62215988405725
"RIOK2",3.64030482943657
"NDC1",4.30861094001835
"CDK17",3.62462163591232
"CTDP1",2.17619049759965
"WNK1",3.13810679367955
"BCAT1",3.13195142772984
"WAPL",3.66540522055472
"RNF4",5.04316737064994
"INTS13",4.1366184754899
"TAF2",2.68393348129428
"HIPK2",2.62113481664274
"IPO5",4.92565815887602
"PKN2",4.04667452319192
"CDK13",1.9654956321481
"FOXJ2",3.08573577259565
"SMARCD1",4.20133948143064
"ASPM",2.29453829234925
"FGFR2",1.90109347183984
"EML1",2.08473026083144
"STAG3",0.157909166775238
"TP53BP1",2.27421729526805
"RHOA",8.91540219779882
"ROCK1",3.75184654297272
"PRR11",3.81676215306146
"KIF2A",3.40053277580089
"SIRT2",5.14904220554354
"PPP2R5B",3.39713691127869
"LRP6",1.78223683138695
"PTPN3",0.476299763207017
"FGF10",0.26631609109115
"EXOC5",2.15145498579338
"CLTCL1",1.51637000317689
"MNT",2.72427006846999
"ASNS",4.37678690815222
"CSNK2A2",4.21428365619285
"CAMK2A",0.27672491093333
"CDC42",7.43568863708156
"RAD18",2.59373878676907
"RPS6KA2",2.33771598716966
"ING3",3.64387230445102
"VASH1",2.80259112146695
"TRIP13",4.25462834946212
"PRKACA",5.12448069387998
"ZFYVE26",2.73978017979815
"SMC1A",4.15079388501595
"CHFR",3.30649032455696
"FBXW11",4.22471115400455
"NDE1",3.37185554502511
"MCM2",4.62486182703948
"MOV10L1",0.374083262205269
"LLGL2",3.62289289700302
"NLE1",1.76499420239601
"SMARCE1",6.01464128175135
"PTGS2",3.854487905593
"CLASP1",1.53444360394281
"TSG101",6.38322578953124
"TUBE1",2.42256827042082
"TIPIN",2.60754419114343
"NUP37",5.49872342318895
"GTSE1",2.76048880132065
"ACTB",12.0157153028208
"WDR62",1.45400262578791
"DLG1",4.5655007149117
"TUBA3D",0.0367970304700206
"MCM6",4.7363238369361
"RBM7",3.88907439023654
"MLH1",4.1669188199203
"SPAG5",3.7473892190297
"CAMSAP3",1.98731474558409
"ACTL6B",0
"TOP2B",3.74177679572994
"USP33",3.72511672942961
"JADE1",1.57680288694045
"UBE2A",6.79860392435579
"FGFR1",1.85807259737632
"FKBP6",0.150404786692691
"SMC1B",0.353670598101911
"FAP",3.91343250272203
"PIK3C3",2.32330599406216
"EDN1",3.37547073185296
"ZCWPW1",1.27388125656414
"PCM1",3.80849130471903
"BRINP1",0.244498881446362
"TP73",1.2927856327214
"CDC14A",1.68007874221004
"KIF22",4.64399375307524
"DNM2",5.26349399523487
"SMARCA2",2.13703227355913
"MOK",2.31913004482252
"RBL1",2.72714318217424
"NDC80",4.52077782973277
"PTPRC",3.61342854003567
"CDC14B",1.21705022743863
"SMARCD3",2.59597618175532
"CCNT2",2.64636013145786
"XPO1",5.71128184034805
"PIBF1",3.28291063267206
"PDS5B",2.43437153792169
"CYLD",3.631446178646
"ZNF324",1.51584772231107
"CHMP2B",5.53060782970119
"ZMPSTE24",5.28525135049118
"MAPRE3",2.85386177152008
"ATRX",3.30709148208399
"MECOM",3.09145424715476
"SEH1L",4.78331532758046
"ABCB1",0.827082582357062
"ORC1",2.73781226565988
"RAD54L",2.36289574901053
"CHMP5",7.09629403139877
"TXLNG",2.80293844834254
"ZW10",3.68631492297975
"PPP1R15A",5.81419180087846
"BAX",6.76530748248666
"UIMC1",3.95173163137087
"AURKA",4.81431274601398
"TPX2",5.20024646176248
"PPP1R13B",1.98342540002796
"NSFL1C",4.98502684417282
"KIZ",3.27262190365677
"ANAPC5",4.9684111295643
"BIRC5",5.38206916310342
"CCNK",1.73271322300113
"NUDC",6.15803489457436
"MAEA",5.00394692986422
"TFAP4",2.66192429336864
"RAB11FIP3",2.59257563904102
"ZNF268",2.77224477832509
"KIF4A",3.33691644709812
"EXOC1",4.29577412067219
"MAP3K20",4.64656134361883
"PSME1",8.79132687662221
"HAUS4",4.67179981644481
"TGM1",4.4143006974035
"DAZL",0.113068762913101
"WDR76",3.42982809167126
"CAPN3",1.83306019750122
"PHGDH",5.02533459118446
"EZR",7.3046227678473
"CLSPN",2.43012876594545
"TGFB2",1.69158116894658
"CDC45",3.74079231283722
"CDC6",4.73732256180804
"CDC23",4.64817699316468
"AAAS",3.96922747940386
"MSH2",4.49156443687233
"TDRD1",0.0818623099246483
"WAC",1.48763200260826
"SRPK1",4.85721147573801
"EFHC1",0.146027977552557
"HSP90AB1",9.41531310220251
"CDC5L",4.00146318272334
"SIRT1",3.15531764047173
"ABL1",3.73797987901546
"SH3GLB1",6.41513549401686
"CDC7",3.16205722438703
"BCL7C",5.95248042404823
"CDC34",4.95207809622947
"MISP",2.85617639201992
"GADD45B",5.30807341709538
"RANBP1",7.02852973953862
"KLHL22",3.09207417703545
"CECR2",0.0997471323727328
"SMARCB1",5.36401605794135
"SUSD2",1.70884868619437
"PES1",5.36603695969666
"TOP3B",2.23984666672975
"CENPM",4.13698936875725
"SEPTIN3",0.683908039894756
"DMC1",0.463870552211613
"FBXO7",5.82858368475913
"SUN2",4.99226671670219
"TTLL12",4.44072662846587
"PDGFB",2.33478808795812
"MYH9",6.30366602185656
"SGSM3",3.72772455408734
"PRMT5",5.6617114902945
"CDKL1",1.21567127880058
"NIN",2.53687023166674
"CDKN3",5.02718927589432
"CGRRF1",2.91858420521343
"LGMN",6.08562040594909
"PPM1A",4.48188198837728
"TELO2",2.73270371964351
"VRK1",4.71435126536381
"YY1",5.70712887591436
"CCNB1IP1",5.14921060506681
"PSME2",8.6972774933137
"REC8",1.35968911077626
"GINS1",3.90251220071472
"MYBL2",4.8989184544831
"BMP7",1.46744195830254
"RAE1",4.76444032235279
"TUBB1",0.240194952166233
"MRGBP",3.73727569981745
"BIRC7",0.352676679941829
"PTK6",3.74945146386184
"CDC25B",5.55923076518069
"CSNK2A1",5.23056728343778
"KIF3B",3.80193867310505
"MAPRE1",6.63044663866735
"CDK5RAP1",3.60112717127618
"TTI1",3.45183286619438
"E2F1",3.53486181297717
"RPRD1B",4.11201045495545
"CHMP4B",7.22797996357642
"ACTR5",2.81866164659364
"FAM83D",4.40092467291121
"CEP76",2.33474238480528
"RBBP8",4.66467373309935
"RIOK3",5.46457242026707
"PSMD10",6.40530232148308
"POLA1",0.648339178757801
"SUV39H1",3.1430575664304
"XIAP",3.68467925110474
"STAG2",3.91689711691647
"NAA10",5.56143331261064
"OPN1LW",0.00240924749738693
"PIM2",4.90450679741927
"JADE3",2.43779285787085
"CDK16",5.25268707889386
"CENPI",2.11089591088856
"BEX4",4.27232261663595
"RGCC",4.80206887966602
"CENPT",0.0800172922395521
"CTCF",4.12793873969869
"PARD6A",1.62896062781066
"SMPD3",0.696513892662006
"TSC2",2.23046242507797
"FBXO31",1.44716719949555
"NUBP1",4.86436056225481
"UBE2I",4.59910498695306
"GSPT1",6.38642375237168
"RBL2",4.32298290555426
"CCP110",2.75149627262127
"RNF40",2.94686326549283
"RAB11A",6.92467320312392
"CEP152",1.58011896767488
"OIP5",3.64706879268869
"CSPP1",1.56670010316326
"TRIM35",2.82340766920334
"FZD3",1.11806374646206
"NBN",4.18756034874379
"SFRP1",1.88621997274508
"GML",0.0240809832324037
"DCTN6",5.83578754203935
"PPP2CB",6.03099637997231
"ARHGEF10",1.55440189187051
"MCM4",5.40873369025348
"TUBB4A",0.169647040137498
"ERCC2",2.11954794451711
"DOT1L",2.42254795266389
"TLE6",0.989905128821036
"LILRB1",1.15863786477258
"CCDC61",2.77718617202099
"AKAP8",2.44038834957512
"AURKC",0.700574729225719
"CCNE1",3.51478056070224
"CCNP",0.522982051444211
"AKT2",2.81501675846707
"FSD1",0.644779075001283
"FZR1",3.55520504481529
"TGFB1",5.21022936725272
"NOP53",6.1431939999175
"BABAM1",5.99837532108761
"CDC37",6.78406910617781
"LIG1",3.01025460619377
"PPP2R1A",6.76222673792165
"TFPT",4.61886912438842
"CDK6",3.35523922318369
"HBP1",5.57155888010086
"CAV2",6.03085666685729
"LFNG",3.25129873610627
"HOXA13",1.43390427446859
"CASP2",3.78935923094099
"TAF6",4.29502858317308
"WASL",4.99398349751437
"RPA3",6.62561705370503
"EZH2",3.88094156403876
"RHEB",7.32275863333876
"BCL7B",5.13544284336238
"SPIN1",4.68617318016967
"TGFBR1",2.54927313353986
"SHB",2.99318435217621
"CCNJ",2.19166882463674
"GATA3",3.39818567756927
"LIPA",5.9896322842766
"LZTS2",4.20708028054812
"FGF8",0.0243667716206376
"GBF1",2.8750984350957
"FBXL15",2.7411045386844
"GTPBP4",4.66305991602221
"BCCIP",6.33867144997159
"SMC3",4.17173520097593
"CUL2",3.01925772394346
"CCNY",4.60807986319136
"UBE2S",4.58296781148771
"GIT1",4.08935412093918
"RAD51C",3.87893289305929
"SEPTIN4",0.902358089391666
"TRIM37",3.16228925793997
"TUBD1",1.70000360331181
"KPNB1",5.78912855188622
"RPS6KB1",4.02709331723083
"CDK5RAP3",5.2497720126959
"RECQL5",2.68196497436625
"RNF167",5.49620959408432
"SLC6A4",0.0259004799108735
"SMARCD2",5.62325727427021
"CCL2",6.63061186509935
"KAT2A",3.15686361786124
"PPP1R9B",3.95621337997503
"DUSP3",4.92267206141131
"YWHAE",8.54997290140383
"RANGRF",5.22915008051122
"MAP2K6",0.604159665374371
"NHERF1",6.25476681830321
"UNC119",5.00969997688818
"PHOX2B",0.0222523778345275
"FBXW7",3.06744331493637
"NCAPG",2.91932188823067
"ZPR1",0.708815410308889
"HSPA8",10.0162437587367
"CCND1",5.33730991443853
"PRPF19",6.31639506484652
"CHORDC1",4.79459803651894
"ANAPC15",6.04333535788674
"CEP126",0.535278205413644
"EIF4G2",7.39918917877547
"BIRC2",4.74695385371793
"AMBRA1",2.999013116414
"MADD",3.2640116555689
"GTF2H1",4.73908719142897
"BCL7A",2.79947437252364
"CYP27B1",2.19386868956443
"GLI1",0.259265220011101
"FOXM1",4.24978330042327
"RAD51AP1",3.73872231492019
"CDKN1B",5.12290481395055
"MDM1",2.58632145058599
"TIMELESS",1.96443612988366
"ING4",4.4797490248666
"PTPN6",4.67080880241296
"AICDA",0.153133826419355
"RAB35",5.1046142277347
"TPD52L1",5.74475342854424
"FBXO5",3.59517230023523
"SLC26A8",0.0205106212004606
"MAPK14",5.01512070442697
"STK38",4.83903671170219
"MCM3",5.41164198544021
"CCNC",6.0653589903575
"E2F3",3.54687881878709
"GMNN",6.2589188569784
"NR2E1",0.0821279326642844
"HECA",3.71772193101745
"SMOC2",2.59097860776215
"CCND3",5.35553648842099
"CUL9",0.0633177955073063
"EXOC2",3.57799013551781
"SENP6",3.63743153368577
"PRPF4B",1.49848486139524
"TTK",3.82115352744899
"CEP72",1.94209037837283
"TENT4A",3.4544616828122
"BRD8",2.46427566364361
"KIF20A",4.03144454736951
"IK",6.28289892750547
"CCNG1",5.418374263077
"RAD1",2.90839520272685
"RAD50",2.1493062880802
"PPP2CA",7.1936057731729
"NR3C1",4.09779526343165
"MACROH2A1",7.05268029977835
"PDGFRB",4.21549230328017
"SMC4",4.55703880838906
"ACTR8",3.45529942677463
"BCL6",4.40236501095209
"TFDP2",4.09876668078736
"KAT2B",3.09955129988008
"WNT5A",3.59507372098328
"HES1",5.2063337896921
"ECT2",4.33015094624935
"HYAL1",1.96530308565708
"RPL24",11.4186093165061
"ROPN1B",0.197422175681078
