"gene_symbol","mean_expr"
"MAD1L1",2.70292563300627
"KLHL13",1.83129223049621
"CYP26B1",0.471960321488291
"POLDIP2",6.21228218491295
"CDC27",4.41667928164149
"UPF1",3.17050365118945
"SLC25A5",8.9376269433731
"KMT2E",3.52146276023391
"USH1C",0.132812532089977
"DBF4",0.340342747464742
"PAF1",5.29762905442666
"CDKL3",0.408023655551513
"MARK4",2.94906954376663
"PAFAH1B1",5.16515329734072
"PAX6",0.0907653990586713
"E2F2",1.1509656576557
"CDKL5",2.00703276591472
"CDK11A",3.37213911833801
"CRY1",3.27607453660278
"PKD1",1.58971669462213
"BAZ1B",4.8858460932734
"METTL13",4.27120471778591
"ZNF207",7.01370636644328
"NCAPD2",4.35941347634064
"IFFO1",0.371926932348217
"AKAP8L",4.03950091300918
"MBTD1",0.11639139334183
"TTC19",3.00088046062002
"DPF1",0.0619358467128757
"ANLN",2.67286589210839
"WIZ",3.59756613030843
"PPP5C",4.95247528215993
"CEP68",2.59739181607014
"BRCA1",2.26642264982789
"MBTPS2",3.15141992984098
"DDX11",2.89173253680935
"TACC3",3.07220013272411
"UFL1",4.90313324044136
"BID",6.16308855139442
"IGF1",1.06404378289387
"PRDM11",0.0775581750062113
"HGF",1.04008054281732
"MNAT1",4.3335370273886
"RUNX3",1.11766029997284
"MRE11",3.67427257729681
"SPAST",3.3997797184252
"FHL1",3.24237966639194
"RTF2",6.81617882580619
"BIRC3",2.54437149492294
"UBR2",1.42772371203087
"NCAPH2",4.20756775705476
"BAK1",5.63436527218309
"CENPQ",3.2122091317983
"PIAS1",3.5628341911177
"CUL3",5.55836505756
"ZZZ3",4.1102195317576
"USP2",0.56207038401917
"TUBG2",4.04687228802302
"NSUN2",5.26819497247945
"SPDL1",2.75304123154045
"MYO16",0.0402080590115562
"PARP3",3.26706617313707
"JADE2",3.38456095438956
"CUL7",3.31842845723224
"CNTLN",1.03702000607226
"OFD1",3.97018834368507
"YTHDC2",3.38087471776778
"TPR",4.67680753740044
"MAP4",5.38201035384635
"USP28",3.37623859787787
"RRM2B",4.27834256567576
"ARID1B",2.72546045259753
"RAD51",2.87876240891585
"FOXN3",2.29359811466105
"ANAPC4",4.27689942063885
"SDCCAG8",3.56310401578397
"FOXC1",3.07123186846458
"SPO11",0.000562815302960437
"CUL1",5.10056907035448
"PUM2",5.2348059864263
"MSH4",0.0307897222655391
"MTA3",2.64864108500499
"CDK14",1.96730600364601
"PPP1R12A",4.2709816218499
"ATP2B4",3.89393752650812
"RIOK2",3.7198512805728
"NDC1",4.26888553864693
"CDK17",3.48273238619011
"CTDP1",2.37129927937169
"WNK1",3.31067282338325
"BCAT1",1.22995327164626
"WAPL",4.01895487431045
"RNF4",5.32763420796741
"INTS13",3.8310242341475
"TAF2",2.89061300275369
"HIPK2",2.43002288520772
"IPO5",5.18795527117597
"PKN2",4.56074951106329
"CDK13",2.20053365648552
"FOXJ2",2.96490391121569
"SMARCD1",4.47920657671339
"ASPM",1.29273196401189
"FGFR2",2.64979787551458
"EML1",2.02109829785558
"STAG3",0.136464628175501
"TP53BP1",3.13647788760153
"RHOA",8.93507164117185
"ROCK1",3.90468601736663
"PRR11",2.40385110209373
"KIF2A",3.85921188050644
"SIRT2",4.97002205641576
"PPP2R5B",2.68737579442013
"LRP6",2.22198579116836
"PTPN3",0.649528116404801
"FGF10",0.358290256404424
"EXOC5",2.28617997264248
"CLTCL1",1.02422735358745
"MNT",3.19392212865144
"ASNS",3.55708195347568
"CSNK2A2",4.49792207746252
"CAMK2A",0.0962561225718026
"CDC42",7.9215790833173
"RAD18",2.10113531732534
"RPS6KA2",3.33699306667502
"ING3",3.71851762769619
"VASH1",2.65371722982867
"TRIP13",2.69352238434395
"PRKACA",5.25493906769645
"ZFYVE26",2.69907377638428
"SMC1A",4.00781173399832
"CHFR",3.37377625745002
"FBXW11",4.49292916933209
"NDE1",2.64519487568638
"MCM2",3.74802454271368
"MOV10L1",0.166697451250833
"LLGL2",4.62662928433822
"NLE1",2.1556261726867
"SMARCE1",6.48072824129703
"PTGS2",3.10178751583706
"CLASP1",1.91817522436623
"TSG101",6.40756861231014
"TUBE1",2.61847510526491
"TIPIN",2.16636680235762
"NUP37",5.20662073689088
"GTSE1",1.80131549012915
"ACTB",11.1195878548652
"WDR62",0.669556886439294
"DLG1",4.62639751060946
"TUBA3D",0.0435430376363365
"MCM6",4.14625120203906
"RBM7",4.37451910146336
"MLH1",4.46586009810443
"SPAG5",2.77149993168045
"CAMSAP3",2.80853431141336
"ACTL6B",0.000675137429302997
"TOP2B",5.62350329901528
"USP33",4.20276753827497
"JADE1",1.90300480848513
"UBE2A",6.20428865088423
"FGFR1",1.91593483236781
