"gene","subtype","n_methods_significant","expr_fold_change","target_expression","expr_fdr","target_rank"
"SHCBP1L","gu",1,39.8712065736036,0.0203557608973621,NA,0.0236220472440945
"TERB2","gu",1,31.5138510972714,0.00453689304991791,NA,0.010498687664042
"DNMT3L","gu",1,22.6652968384292,0.0354243516709341,NA,0.0288713910761155
"SPO11","gu",1,16.8029598737198,0.00236424073798992,NA,0.00721784776902887
"PIWIL3","gu",1,9.35599694220395,0.308308913051025,NA,0.0872703412073491
"PRAP1","gu",1,5.59649224657735,3.47299179682208,NA,0.466535433070866
"ZFP42","gu",1,5.52613832540364,0.131237942071131,NA,0.0597112860892388
"SLC39A5","gu",1,5.09805646113597,0.316543439995608,NA,0.0879265091863517
"TUBB8","gu",1,4.23111456968782,0.177330824737291,NA,0.0669291338582677
"CYP1A1","gu",1,3.44875640328993,4.34412945233543,NA,0.649606299212598
"CCNI2","gu",1,2.54358307978588,1.5589104424025,NA,0.202755905511811
"CDKN2B","gu",1,1.55713044898083,3.69110375942286,NA,0.521653543307087
"GNAI1","gu",1,0.727347763587674,2.06012028515495,NA,0.257217847769029
"NIN","gu",1,0.780766184287569,1.89452260109919,NA,0.242125984251968
"GJA1","gu",1,0.809036102832945,5.23288217504617,NA,0.791338582677165
"HSPA1A","gu",1,0.837228624587902,3.73896707707764,NA,0.530183727034121
"TSC22D2","gu",1,1.18855108385855,1.83923663894299,NA,0.236220472440945
"NME6","gu",1,1.11675266210578,4.74343670167562,NA,0.72244094488189
"TSC1","gu",1,1.11244095677672,2.91897379148548,NA,0.370734908136483
"CDK16","gu",1,1.10265638493462,5.76204718293222,NA,0.860236220472441
"CDK5RAP1","gu",1,1.07986620878999,3.95873986422601,NA,0.578740157480315
"BCL2L1","gu",1,1.06471543097358,6.52636987861975,NA,0.929133858267717
"AURKAIP1","gu",1,1.0640269443046,7.23799000716442,NA,0.958661417322835
"IPO7","gu",1,0.963412859662346,5.52574643161897,NA,0.837270341207349
"ARF6","gu",1,1.01456564831842,6.32079925129419,NA,0.913385826771654
