"gene","subtype","n_methods_significant","expr_fold_change","target_expression","expr_fdr","target_rank"
"EVI2B","mes",2,1.8499643394226,6.51308976743499,NA,0.925853018372703
"CCDC69","mes",2,1.74726113326711,6.33483630576887,NA,0.913385826771654
"FHL1","mes",2,1.66877500737179,6.48610506216228,NA,0.921916010498688
"DAZL","mes",1,8.37563302310433,0.642904722197252,NA,0.118766404199475
"AICDA","mes",1,7.25877129455733,0.753941639015402,NA,0.13254593175853
"MYO16","mes",1,5.80889594180465,0.455019339277706,NA,0.100393700787402
"FGF10","mes",1,5.67222863400614,2.0001405710338,NA,0.267716535433071
"PSMA8","mes",1,5.5895437206625,0.240067141632164,NA,0.0800524934383202
"KCTD19","mes",1,5.57180427891491,0.0645448422634676,NA,0.0433070866141732
"CXCR5","mes",1,4.87081656106432,2.45242189529684,NA,0.324803149606299
"CAMSAP3","mes",1,0.221711083669454,0.569388653192631,NA,0.110892388451444
"CCNO","mes",1,0.232421489538413,0.338145123086379,NA,0.0898950131233596
"CAMK2A","mes",1,3.80018604344454,0.603624888030884,NA,0.112860892388451
"IHO1","mes",1,3.47222257204643,0.586833434346299,NA,0.111548556430446
"CACNB4","mes",1,3.30562989296368,0.319389470380552,NA,0.0885826771653543
"CDK15","mes",1,3.23107668187052,1.17402449022495,NA,0.166666666666667
"ADCYAP1","mes",1,3.19886729697021,2.77372749049125,NA,0.366141732283465
"PTPN3","mes",1,0.319377714337958,0.204011263893656,NA,0.0728346456692913
"TUBB1","mes",1,3.13000181610509,0.535651576375382,NA,0.106955380577428
"MEI1","mes",1,3.02250720713012,0.624981933378053,NA,0.116797900262467
"NPR2","mes",1,2.94261070958716,1.30062023352155,NA,0.177165354330709
"CHMP4C","mes",1,0.341778328205264,1.75527708354535,NA,0.228346456692913
"SEPTIN1","mes",1,2.91847473092965,1.53254458670879,NA,0.200787401574803
"IQGAP2","mes",1,2.86843380718929,2.13795710815631,NA,0.286089238845144
"HGF","mes",1,2.81591957773545,4.24613437280995,NA,0.637795275590551
"SFRP1","mes",1,2.76425361867408,5.00612573512272,NA,0.769028871391076
"IFFO1","mes",1,2.75680855474678,1.08394079861921,NA,0.158792650918635
"DRD3","mes",1,2.71375601114566,0.0211073952471143,NA,0.0288713910761155
"LILRB1","mes",1,2.71076528678302,2.2895889059497,NA,0.301837270341207
"CCND2","mes",1,2.70582497060571,3.7729707596873,NA,0.543307086614173
"MYOCD","mes",1,2.57868507315867,2.09665053781953,NA,0.27755905511811
"RUNX3","mes",1,2.5116062891046,4.01377863703707,NA,0.58989501312336
"IL10","mes",1,2.48553394130926,2.47740783342772,NA,0.328083989501312
"FGF2","mes",1,2.47449921797624,3.16476608946844,NA,0.435695538057743
"GLI1","mes",1,2.46272265923384,0.743472424941795,NA,0.131233595800525
"UTP14C","mes",1,2.46088803199943,0.848697851954626,NA,0.14238845144357
"PRICKLE1","mes",1,2.45089294402433,0.976484404653979,NA,0.150918635170604
"FAM107A","mes",1,2.40235971806547,3.93463133710429,NA,0.576115485564304
"CCDC42","mes",1,2.3464742822873,0.192635841424192,NA,0.0708661417322835
"GJC2","mes",1,2.34476699797505,1.52441194762062,NA,0.199475065616798
"DIRAS3","mes",1,2.32021003791968,2.48558629682284,NA,0.33005249343832
