"gene","subtype","expr_significant","outlier_significant","rank_significant","n_methods_significant","expr_fold_change","target_expr","expr_fdr","outlier_fdr","target_rank"
"CDK4","scne",FALSE,TRUE,FALSE,1,1.13571085341938,7.28625754241929,4.1794345762014e-11,0.00380323439727392,0.96259842519685
"CTNNB1","scne",FALSE,TRUE,FALSE,1,1.07945372036997,8.12860477167975,4.1794345762014e-11,0.00386647880766548,0.976377952755906
"CHEK2","scne",FALSE,TRUE,FALSE,1,1.12596354372413,3.84400739695118,2.8718643093247e-06,0.0483021405626241,0.524278215223097
"CDK1","scne",TRUE,FALSE,FALSE,1,1.81281719586897,1.8071946125167,4.74686573226357e-05,0.0963742414221011,0.202755905511811
"MAD2L1","scne",TRUE,FALSE,FALSE,1,1.53717791302687,3.7432522239341,0.000284693321268847,0.149317734956572,0.504593175853018
"ACTL6B","scne",FALSE,TRUE,FALSE,1,20.1330567573661,0.573889162330914,NA,0,0.0905511811023622
"TFAP4","scne",FALSE,TRUE,FALSE,1,1.2370529881162,3.37535080394326,NA,0,0.424540682414698
"TDRD1","scne",FALSE,TRUE,FALSE,1,8.34624566282699,0.744046694887634,NA,0,0.106955380577428
"VPS4A","scne",FALSE,TRUE,FALSE,1,0.876596874444628,3.40707353982979,NA,0,0.429790026246719
"PHOX2B","scne",FALSE,TRUE,FALSE,1,34.9838152625209,0.78827981293459,NA,0,0.110892388451444
"APC","scne",FALSE,TRUE,FALSE,1,2.45154568627185,0.249064169276026,NA,0,0.0564304461942257
"MYOG","scne",FALSE,TRUE,FALSE,1,19.4332369371247,1.13996423571396,NA,0,0.137795275590551
"ASCL1","scne",FALSE,TRUE,FALSE,1,25.7934954506155,2.48291403799097,NA,0,0.288713910761155
"ESCO1","scne",FALSE,TRUE,FALSE,1,1.20942944460012,4.54244875762624,NA,0,0.670603674540682
"ETAA1","scne",FALSE,TRUE,FALSE,1,1.16889884126075,3.29086551434988,NA,0,0.40748031496063
"TRIM36","scne",FALSE,TRUE,FALSE,1,4.48555328762541,3.84758570791937,NA,0,0.525590551181102
"STRA8","scne",FALSE,TRUE,FALSE,1,14.745277483987,0.0336892015678054,NA,0,0.0236220472440945
"NSMCE2","scne",FALSE,TRUE,FALSE,1,1.15029444367961,5.64546501642247,NA,0,0.845144356955381
"ASZ1","scne",FALSE,TRUE,FALSE,1,18.8685401964262,0.503030535011233,NA,0,0.083989501312336
"TERT","scne",FALSE,TRUE,FALSE,1,4.82648354295824,0.412401271336338,NA,0,0.0767716535433071
"MAJIN","scne",FALSE,TRUE,FALSE,1,6.01575471926972,0.398428267361401,NA,0,0.0741469816272966
"TUBA3D","scne",FALSE,TRUE,FALSE,1,12.1707263546828,0.618090422774136,NA,0,0.0977690288713911
"FGF8","scne",FALSE,TRUE,FALSE,1,14.7468651631917,0.588298836435282,NA,0,0.0938320209973753
"REC114","scne",FALSE,TRUE,FALSE,1,12.0019247308055,0.164973643623048,NA,0,0.0439632545931759
"FOXG1","scne",FALSE,TRUE,FALSE,1,9.53526227760442,0.395462366893305,NA,0,0.073490813648294
"CEP97","scne",FALSE,TRUE,FALSE,1,1.45218989444502,3.04053062034189,NA,0,0.360236220472441
"TEX19","scne",FALSE,TRUE,FALSE,1,4.7066786899499,0.514477418619215,NA,0,0.0846456692913386
"SERTAD1","scne",FALSE,TRUE,FALSE,1,0.786751528763534,3.51160194763619,NA,0,0.454068241469816
"EDN3","scne",FALSE,TRUE,FALSE,1,9.20957379350864,1.25148479403625,NA,0,0.149606299212598
"DPF1","scne",FALSE,TRUE,FALSE,1,6.31351613619789,1.73246373906153,NA,0,0.19750656167979
"SYCP1","scne",FALSE,TRUE,FALSE,1,46.8775004932159,0.197320784653627,NA,0,0.0505249343832021
"HFM1","scne",FALSE,TRUE,FALSE,1,11.7627113718437,0.709106515771632,NA,0,0.103674540682415
"CDKL3","scne",FALSE,TRUE,FALSE,1,1.95660871286602,0.8596710338692,NA,0,0.116797900262467
"NKX3-1","scne",FALSE,TRUE,FALSE,1,2.1812966173292,3.88843421204186,NA,0,0.532152230971129
"CHMP1A","scne",FALSE,TRUE,FALSE,1,0.871108651517782,5.01571038993281,NA,0,0.743438320209974
"WEE2","scne",FALSE,TRUE,FALSE,1,8.72016018358912,0.159966107354008,NA,0,0.0426509186351706
"ESX1","scne",FALSE,TRUE,FALSE,1,8.82683413162994,0.517696022553499,NA,0,0.0853018372703412
"TMEM67","scne",FALSE,TRUE,FALSE,1,1.42001923004508,2.5149735419166,NA,0,0.291338582677165
"KASH5","scne",FALSE,TRUE,FALSE,1,9.63470310212285,0.19738077759244,NA,0,0.0511811023622047
"EIF4G1","scne",FALSE,TRUE,FALSE,1,0.87974291961157,4.8372740272644,NA,0,0.717191601049869
"MEIOC","scne",FALSE,TRUE,FALSE,1,21.8161606628887,0.0242949259508146,NA,0,0.020997375328084
"KIF18B","scne",FALSE,TRUE,FALSE,1,6.0259899587378,0.132947088191959,NA,0,0.0393700787401575
"CGREF1","scne",FALSE,TRUE,FALSE,1,2.6312240595719,1.83481558222528,NA,0,0.205380577427822
"NPPC","scne",FALSE,TRUE,FALSE,1,5.62874670352048,1.8494836007578,NA,0,0.206692913385827
"FAM9A","scne",FALSE,TRUE,FALSE,1,180.213675948339,0.260674335440312,NA,0,0.0597112860892388
"FBXO43","scne",FALSE,TRUE,FALSE,1,7.48675912826867,0.721831108897039,NA,1.60189322124487e-14,0.10498687664042
"BOD1","scne",FALSE,TRUE,FALSE,1,1.16440984387896,6.12287841991984,NA,1.07035592510453e-13,0.894356955380577
"UCHL5","scne",FALSE,TRUE,FALSE,1,1.18412311894855,4.16529028905184,NA,4.24153465973098e-13,0.591207349081365
"HOXC9","scne",FALSE,TRUE,FALSE,1,3.1396776173966,2.18305234887074,NA,4.24153465973098e-13,0.248031496062992
"BCCIP","scne",FALSE,TRUE,FALSE,1,1.06216971700213,6.69722709751311,NA,1.41716425828429e-12,0.937664041994751
"KCNH5","scne",FALSE,TRUE,FALSE,1,5.06189168772188,0.604542954553422,NA,1.9833440445538e-12,0.0958005249343832
"TTBK1","scne",FALSE,TRUE,FALSE,1,4.50793846761532,0.670001610930982,NA,6.16500048290525e-12,0.101049868766404
"DRD2","scne",FALSE,TRUE,FALSE,1,9.3592776579114,1.34741686872182,NA,6.93651802663453e-12,0.162073490813648
"BRINP2","scne",FALSE,TRUE,FALSE,1,8.43770045017348,0.996975796859331,NA,8.57484018431077e-12,0.128608923884514
"DBF4","scne",FALSE,TRUE,FALSE,1,3.11956192603892,1.59953846402934,NA,1.55845881071998e-09,0.188976377952756
"BUB3","scne",FALSE,TRUE,FALSE,1,1.11037172325027,7.00838764771565,NA,2.07435439894281e-09,0.952099737532808
"BRSK2","scne",FALSE,TRUE,FALSE,1,5.22006465770112,1.39703706362517,NA,2.11940440506295e-09,0.167979002624672
"BCR","scne",FALSE,TRUE,FALSE,1,0.818776688855645,3.146637353451,NA,3.06737707960797e-09,0.380577427821522
"BRME1","scne",FALSE,TRUE,FALSE,1,3.79703386283956,1.50026175814708,NA,4.50798129819337e-09,0.178477690288714
"MX2","scne",FALSE,TRUE,FALSE,1,0.501756267398758,2.12630232667889,NA,4.50798129819337e-09,0.238845144356955
"FSD1","scne",FALSE,TRUE,FALSE,1,4.0594559043945,2.97397067277484,NA,4.56518191065939e-09,0.352362204724409
"MSH4","scne",FALSE,TRUE,FALSE,1,3.88535665504767,0.210897030207268,NA,7.4992826637853e-09,0.0531496062992126
"KMT5A","scne",FALSE,TRUE,FALSE,1,1.07712949587593,4.722886374376,NA,1.64286820814041e-08,0.698162729658793
"DMRT1","scne",FALSE,TRUE,FALSE,1,3.59985897517176,0.235145533477725,NA,1.99656869725642e-08,0.0551181102362205
"PRMT5","scne",FALSE,TRUE,FALSE,1,1.11860018739652,6.22701057452744,NA,2.41705945043748e-08,0.903543307086614
"RNF212","scne",FALSE,TRUE,FALSE,1,3.84510442405873,1.40796198084993,NA,2.66827033484114e-08,0.169291338582677
