"gene","subtype","expr_significant","outlier_significant","rank_significant","n_methods_significant","expr_fold_change","target_expr","expr_fdr","outlier_fdr","target_rank"
"SSTR5","uro",FALSE,TRUE,FALSE,1,25.3159195154338,0.0420954516137207,NA,0,0.0433070866141732
"BMP2","uro",FALSE,TRUE,FALSE,1,1.36791834236015,3.87502032321475,NA,0,0.610892388451444
"PSMD13","uro",FALSE,TRUE,FALSE,1,0.946960185714891,6.83736736481439,NA,0,0.950787401574803
"CALR","uro",FALSE,TRUE,FALSE,1,0.962941273891675,9.12036101792257,NA,1.09257047853362e-12,0.990157480314961
"TRNP1","uro",FALSE,TRUE,FALSE,1,1.59072164630646,4.97233096339556,NA,1.9361491876424e-08,0.783464566929134
"HERC5","uro",FALSE,TRUE,FALSE,1,0.55837214478168,1.95141614668239,NA,4.90202035788708e-08,0.283464566929134
"EME2","uro",FALSE,TRUE,FALSE,1,1.54941196983968,0.795871697518362,NA,9.33354805110476e-08,0.15748031496063
"SMC6","uro",FALSE,TRUE,FALSE,1,0.862011803998218,3.46616355381686,NA,6.06616420798882e-07,0.538057742782152
"CUL4A","uro",FALSE,TRUE,FALSE,1,0.895478186186464,2.66330991159618,NA,5.36891260225693e-06,0.379265091863517
"FGFR2","uro",FALSE,TRUE,FALSE,1,1.37503024597704,2.64979787551458,NA,1.98698431887388e-05,0.375328083989501
"CCNJL","uro",FALSE,TRUE,FALSE,1,1.31642221819931,2.29897653291809,NA,0.000101032096384716,0.326771653543307
"EML4","uro",FALSE,TRUE,FALSE,1,1.08815333732035,4.24797459908767,NA,0.000101767091062382,0.673228346456693
"HTRA2","uro",FALSE,TRUE,FALSE,1,0.876056917574622,3.86748154326638,NA,0.000209073285384384,0.608923884514436
"CDK18","uro",FALSE,TRUE,FALSE,1,1.32943443571092,3.4192716895065,NA,0.000640110133343283,0.530183727034121
"BIRC7","uro",FALSE,TRUE,FALSE,1,0.260967215405853,0.109400969453369,NA,0.000755268848227332,0.0656167979002625
"MRGPRX2","uro",FALSE,TRUE,FALSE,1,4.10868273809412,0.304967990538722,NA,0.00110387976928586,0.0971128608923885
"NOLC1","uro",FALSE,TRUE,FALSE,1,1.07948495207537,5.64572531789938,NA,0.00153909889303227,0.859580052493438
"UFL1","uro",FALSE,TRUE,FALSE,1,1.16580234213145,4.90313324044136,NA,0.00388600105292772,0.772965879265092
"NUPR1","uro",FALSE,TRUE,FALSE,1,0.664815697649682,3.95054038067665,NA,0.00429839828159762,0.623359580052493
"HSP90AB1","uro",FALSE,TRUE,FALSE,1,1.03987787071271,9.82819956064736,NA,0.0183470148687177,0.992782152230971
"GNB1L","uro",FALSE,TRUE,FALSE,1,0.821609019713578,1.86185907401226,NA,0.020102901620357,0.271653543307087
"ANKK1","uro",FALSE,TRUE,FALSE,1,2.27017961990622,0.626156150390191,NA,0.0286012580388464,0.137139107611549
"CCNQ","uro",FALSE,TRUE,FALSE,1,0.890612171340999,4.06203811325592,NA,0.0286012580388464,0.640419947506562
"CALM2","uro",FALSE,TRUE,FALSE,1,0.924338345589605,9.25138995807255,NA,0.0306900577431675,0.990813648293963
"NCAPH2","uro",FALSE,TRUE,FALSE,1,0.864799839618052,4.20756775705476,NA,0.0383527604434038,0.667979002624672
"HAUS7","uro",FALSE,TRUE,FALSE,1,0.800025178963964,3.17255493149106,NA,0.0398110741605619,0.486220472440945
