"gene","subtype","n_methods_significant","expr_fold_change","target_expression","expr_fdr","target_rank"
"MBTD1","scne",1,0,0,NA,0.0124671916010499
"BOLL","scne",1,0,0,NA,0.0124671916010499
"FAM9A","scne",1,180.213675948339,0.260674335440312,NA,0.0597112860892388
"SYCP1","scne",1,46.8775004932159,0.197320784653627,NA,0.0505249343832021
"PHOX2B","scne",1,34.9838152625209,0.78827981293459,NA,0.110892388451444
"ASCL1","scne",1,25.7934954506155,2.48291403799097,NA,0.288713910761155
"MEIOC","scne",1,21.8161606628887,0.0242949259508146,NA,0.020997375328084
"ACTL6B","scne",1,20.1330567573661,0.573889162330914,NA,0.0905511811023622
"MYOG","scne",1,19.4332369371247,1.13996423571396,NA,0.137795275590551
"ASZ1","scne",1,18.8685401964262,0.503030535011233,NA,0.083989501312336
"FGF8","scne",1,14.7468651631917,0.588298836435282,NA,0.0938320209973753
"STRA8","scne",1,14.745277483987,0.0336892015678054,NA,0.0236220472440945
"TUBA3D","scne",1,12.1707263546828,0.618090422774136,NA,0.0977690288713911
"REC114","scne",1,12.0019247308055,0.164973643623048,NA,0.0439632545931759
"HFM1","scne",1,11.7627113718437,0.709106515771632,NA,0.103674540682415
"KASH5","scne",1,9.63470310212285,0.19738077759244,NA,0.0511811023622047
"HEPACAM2","scne",1,9.59773246439967,3.65064966813528,NA,0.485564304461942
"FOXG1","scne",1,9.53526227760442,0.395462366893305,NA,0.073490813648294
"DRD2","scne",1,9.3592776579114,1.34741686872182,NA,0.162073490813648
"EDN3","scne",1,9.20957379350864,1.25148479403625,NA,0.149606299212598
"NLRP5","scne",1,8.95768907942554,0.071368629099119,NA,0.0301837270341207
"ESX1","scne",1,8.82683413162994,0.517696022553499,NA,0.0853018372703412
"WEE2","scne",1,8.72016018358912,0.159966107354008,NA,0.0426509186351706
"BRINP2","scne",1,8.43770045017348,0.996975796859331,NA,0.128608923884514
"TDRD1","scne",1,8.34624566282699,0.744046694887634,NA,0.106955380577428
"FBXO43","scne",1,7.48675912826867,0.721831108897039,NA,0.10498687664042
"RBM46","scne",1,6.55311918535329,0.587264817867249,NA,0.0925196850393701
"DPF1","scne",1,6.31351613619789,1.73246373906153,NA,0.19750656167979
"KIF18B","scne",1,6.0259899587378,0.132947088191959,NA,0.0393700787401575
"MAJIN","scne",1,6.01575471926972,0.398428267361401,NA,0.0741469816272966
"SEPTIN12","scne",1,5.80548961620067,0.0935054194299966,NA,0.0341207349081365
"NANOS3","scne",1,5.70566822060505,0.609742377421416,NA,0.0971128608923885
"PROX1","scne",1,5.66261657073355,2.6881922754743,NA,0.314304461942257
"NPPC","scne",1,5.62874670352048,1.8494836007578,NA,0.206692913385827
"CNTD1","scne",1,5.5699432994976,0.46844601389567,NA,0.0800524934383202
"BRSK2","scne",1,5.22006465770112,1.39703706362517,NA,0.167979002624672
"EXD1","scne",1,5.14348169957054,0.0474773243778879,NA,0.0255905511811024
"KCNH5","scne",1,5.06189168772188,0.604542954553422,NA,0.0958005249343832
"SLC25A31","scne",1,5.03257269712779,0.0298251263447242,NA,0.0229658792650919
"USH1C","scne",1,4.83135353605683,0.806790655577154,NA,0.112204724409449
"TERT","scne",1,4.82648354295824,0.412401271336338,NA,0.0767716535433071
"TEX19","scne",1,4.7066786899499,0.514477418619215,NA,0.0846456692913386
"TTBK1","scne",1,4.50793846761532,0.670001610930982,NA,0.101049868766404
"TRIM36","scne",1,4.48555328762541,3.84758570791937,NA,0.525590551181102
"GFI1B","scne",1,4.25429252768876,0.47464764797492,NA,0.0813648293963255
"FSD1","scne",1,4.0594559043945,2.97397067277484,NA,0.352362204724409
"POU4F1","scne",1,3.96430670971194,1.51597905407427,NA,0.181102362204724
"RFPL1","scne",1,3.90024713316292,0.101141804063652,NA,0.0347769028871391
"MSH4","scne",1,3.88535665504767,0.210897030207268,NA,0.0531496062992126
"TRIM71","scne",1,3.88393544676443,0.340316837136029,NA,0.0669291338582677
"CEP295NL","scne",1,3.85403499917589,0.165724443871314,NA,0.0446194225721785
"BRINP1","scne",1,3.8461878180769,1.50239556532589,NA,0.179133858267717
"RNF212","scne",1,3.84510442405873,1.40796198084993,NA,0.169291338582677
"BRME1","scne",1,3.79703386283956,1.50026175814708,NA,0.178477690288714
"TEX15","scne",1,3.78768431240195,0.524307478922364,NA,0.0859580052493438
"DACH1","scne",1,3.68641515554049,2.61544887527108,NA,0.301181102362205
"TUBB2B","scne",1,3.63838446377377,6.07878021086855,NA,0.893044619422572
"SYCE2","scne",1,3.61501391864113,2.2443082950461,NA,0.258530183727034
"DMRT1","scne",1,3.59985897517176,0.235145533477725,NA,0.0551181102362205
"MAPK15","scne",1,3.54594753810822,1.04801623544494,NA,0.131233595800525
"GAS2","scne",1,3.34914714696701,2.24258004868,NA,0.257217847769029
"DEUP1","scne",1,3.23100662451061,0.109594409278618,NA,0.036745406824147
"EFHC1","scne",1,3.18573844970319,0.988872959611726,NA,0.127296587926509
"HOXC9","scne",1,3.1396776173966,2.18305234887074,NA,0.248031496062992
"DBF4","scne",1,3.11956192603892,1.59953846402934,NA,0.188976377952756
"DCDC1","scne",1,3.03328848973888,0.371080742839881,NA,0.0708661417322835
"BRSK1","scne",1,2.96849106689564,2.59417109790766,NA,0.298556430446194
"WNT10B","scne",1,2.93483400918338,1.30260162439866,NA,0.156167979002625
"SEPTIN3","scne",1,2.85425242522522,3.61060302683057,NA,0.475721784776903
"TUBA8","scne",1,2.6959363717833,1.40336741872307,NA,0.168635170603675
"CGREF1","scne",1,2.6312240595719,1.83481558222528,NA,0.205380577427822
"ANKLE1","scne",1,2.60127552236221,1.20307330457404,NA,0.144356955380577
"OOEP","scne",1,2.56204507922497,0.657555095463606,NA,0.100393700787402
"STK33","scne",1,2.54866275423064,2.13132898429383,NA,0.240813648293963
